Row	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
1	4194	6039	6039	-4.02228927969336	-1.0468	0.260249804827514	0.484040611072877	0
2	1039	171024	171024	-3.43091975854101	-0.912	0.265817933435967	0.531447837179277	0
3	1806	25975	25975	-3.19102943843912	-1.4982	0.469503659838638	0.353994782054899	0
4	2588	389136	389136	-3.00281226153667	-0.8024	0.267216172745138	0.573394511356358	0
5	1725	256586	256586	-2.99935078685745	-0.7832	0.261123174865649	0.581076493868519	0
6	4336	64102	64102	-2.99574288970398	-1.5606	0.520939231922606	0.339010062218455	0
7	3263	5170	5170	-2.89574063579156	-0.947	0.327032051246239	0.518709968282806	0
8	712	1326	1326	-2.83838839332826	-1.5872	0.559190561704231	0.332816761910856	0
9	3626	55213	55213	-2.80799221015301	-0.6874	0.244801248918901	0.620971947040467	0
10	2989	50484	50484	-2.8075213394861	-0.8408	0.299481249946226	0.55833387713702	0
11	692	130074	130074	-2.8066704798538	-0.6224	0.221757418431401	0.649589401832677	0
12	1005	1646	1646	-2.79840575428905	-0.9974	0.35641722022309	0.500901903788311	0
13	2793	440248	440248	-2.78107833790135	-0.86385	0.310616924459552	0.549484236835956	0
14	3595	55119	55119	-2.75959992855618	-0.8142	0.295042767458683	0.568723766616029	0
15	2261	3043	3043	-2.75814286066617	-1.7046	0.618024549891621	0.306806297290038	0
16	4994	79614	79614	-2.75054356642036	-1.4658	0.532912845989796	0.362034728286472	0
17	1628	2359	2359	-2.74820693737926	-0.9306	0.338620788464873	0.524640104747909	0
18	4082	5788	5788	-2.74627778492453	-0.7852	0.285914267052769	0.580271508903667	0
19	1863	26152	26152	-2.72947258323951	-0.8729333333	0.319817586247358	0.546035504500492	0
20	5314	84000	84000	-2.72821929692412	-0.9876	0.361994360612232	0.504316034159952	0
21	2666	401504	401504	-2.71187650015448	-0.818	0.301636154874089	0.567227742467977	0
22	516	114294	114294	-2.69302000521361	-1.0074	0.374078171736453	0.497441921602296	0
23	2763	427	427	-2.68320367272753	-0.8682	0.323568430091427	0.547829932604829	0
24	4435	64747	64747	-2.66725822502718	-1.1772	0.441352092929812	0.442208910244491	0
25	5624	8886	8886	-2.64279409392056	-0.6396	0.242016584444216	0.641890894057236	0
26	137	10329	10329	-2.63403315781404	-0.7508	0.28503817340822	0.594273930678222	0
27	145	10365	10365	-2.62802138061216	-0.704	0.267882143270849	0.61386784195753	0
28	1699	253832	253832	-2.61166586473287	-0.6958	0.266419992463763	0.617366882737556	0
29	4158	59342	59342	-2.60931550881997	-0.9402	0.360324382705713	0.521160627208592	0
30	1973	27163	27163	-2.58874379053121	-0.7262	0.280522160074785	0.604494031441081	0
31	5084	79987	79987	-2.58393464480111	-0.9922	0.383988040098581	0.502710594882138	0
32	4307	6386	6386	-2.5818207484039	-1.3488	0.522422015871488	0.392618484043316	0
33	5651	8974	8974	-2.56164502428386	-0.7648	0.298558150231534	0.588534951222797	0
34	4580	667	667	-2.54559777438857	-0.8044	0.315996505061845	0.572600168502292	0
35	5562	8723	8723	-2.54497575052754	-0.6742	0.264914115531453	0.626679627954818	0
36	5744	9131	9131	-2.54221597070991	-0.7294	0.286915041209625	0.603154706681488	0
37	5179	81037	81037	-2.54024169387129	-0.7122	0.280367022444473	0.610388632637083	0
38	518	114327	114327	-2.5357162583589	-0.7022	0.276923728230721	0.614634221325443	0
39	5946	9557	9557	-2.52764881227504	-0.7156	0.283108949520529	0.608951823223583	0
40	5834	928	928	-2.51912326725388	-1.1378	0.451665075222908	0.454452054289631	0
41	3630	55233	55233	-2.51747370951796	-0.599	0.237936943585677	0.6602114205075	0
42	2061	283635	283635	-2.49869495610741	-0.8832	0.353464514682453	0.542163539385863	0
43	5154	80727	80727	-2.48633410205857	-0.9016	0.362622223318064	0.53529274330289	0
44	4238	6184	6184	-2.48355948330437	-0.7266	0.292563961074635	0.604326453339989	0
45	4612	6760	6760	-2.48145176097504	-0.6502	0.262024033763412	0.637191973972485	0
46	3834	56254	56254	-2.48040849163866	-0.6426	0.259070230635871	0.640557506298329	0
47	1886	2627	2627	-2.47796915328993	-1.0142	0.40928677366846	0.495102795387478	0
48	151	10390	10390	-2.47207156816503	-0.8184	0.331058376520823	0.567070495343894	0
49	5557	871	871	-2.46444572522498	-0.7452	0.302380365845537	0.596585161518439	0
50	5121	80230	80230	-2.46171374941468	-0.7346	0.298410000015098	0.600984629986704	0
51	2323	3188	3188	-2.45791777874597	-0.8012	0.325966965586933	0.573871645910206	0
52	2248	30001	30001	-2.44941822359748	-0.6488	0.26487922468671	0.637810609035872	0
53	674	1282	1282	-2.43037287279598	-0.8576	0.352867664710802	0.551869859626031	0
54	1373	22919	22919	-2.42832570208299	-0.8153	0.335745735961468	0.568290301684394	0
55	4871	7533	7533	-2.42242324074168	-0.7602	0.313817993162602	0.590414476215265	0
56	2546	379025	379025	-2.41841032771299	-0.8098	0.334848057304568	0.570460935130633	0
57	37	10095	10095	-2.37250685649402	-0.73525	0.309904267710534	0.600713919953707	0
58	3274	51747	51747	-2.37044276593807	-0.6698	0.282563244987245	0.628593822828199	0
59	2599	390	390	-2.3587692418546	-0.6502	0.275652229333283	0.637191973972485	0
60	838	145815	145815	-2.35632930337056	-0.6218	0.263885017730994	0.6498596146554	0
61	1278	221061	221061	-2.35428447827151	-0.753	0.319842400928899	0.593368398828266	0
62	4589	6696	6696	-2.35365115761993	-0.9776	0.415354670055937	0.507823829579957	0
63	2244	29995	29995	-2.35145241256173	-0.859	0.365306138202552	0.551334581534456	0
64	34	10092	10092	-2.34187573983291	-1.2318	0.525988624865248	0.425785876239187	0
65	177	10437	10437	-2.3357439756968	-1.1152	0.477449588483821	0.461627155816384	0
66	5145	8038	8038	-2.33239409702729	-0.6786	0.29094568575049	0.624771262190602	0
67	1175	2023	2023	-2.32881251737995	-0.8172	0.35090845394433	0.56754236754085	0
68	3014	5082	5082	-2.32576470957208	-0.5676	0.244048762827962	0.674738318423054	0
69	1116	1948	1948	-2.31991133970606	-0.6462	0.278545127540036	0.638961096644901	0
70	1323	2274	2274	-2.31712276387665	-0.65	0.280520311713015	0.637280313659631	0
71	2657	4012	4012	-2.3158868878873	-0.8566	0.369879895464776	0.552252519267672	0
72	2173	2919	2919	-2.31329110410089	-0.937	0.405050621747921	0.522317881432116	0
73	1471	23176	23176	-2.31239080612415	-0.5422	0.234475936577864	0.686722910105951	0
74	1351	22869	22869	-2.31068528787825	-0.5346	0.231359935861663	0.690350055844229	0
75	2321	3185	3185	-2.29466290087571	-0.62	0.270192192397145	0.650670927720967	0
76	2620	3937	3937	-2.29329345465892	-0.8312	0.362448163060589	0.562061538214073	0
77	1315	2246	2246	-2.29234995730036	-1.1972	0.522258827098945	0.436120889501485	0
78	1996	27286	27286	-2.28331423007858	-0.59	0.258396322428077	0.664342907048256	0
