Row	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
24	5699	90462	90462	2.88458555319788	1.2512	0.43375381902364	2.38039336233061	0
25	2022	2752	2752	2.86187780113141	0.6766	0.236418200571846	1.59836843743363	0
26	1130	1968	1968	2.8299129713954	0.684	0.241703545979623	1.60658799351407	0
27	2478	3643	3643	2.82529843970423	0.5694	0.201536231358132	1.48390630299867	0
28	5437	84869	84869	2.8178700325111	0.7892	0.280069694803035	1.7281159259321	0
29	4088	5802	5802	2.8029544701354	0.8696	0.310244068986961	1.82715623494621	0
30	4276	6284	6284	2.79685345580585	0.8276	0.295903955311647	1.77473054652889	0
31	4842	7422	7422	2.79417791939833	0.633	0.226542481638501	1.55078641269401	0
32	2738	4188	4188	2.77242374361721	0.8072	0.291153183873269	1.7498120884615	0
33	5477	85027	85027	2.76902782762336	0.8586	0.310072723515	1.81327784079509	0
34	2635	3992	3992	2.74531757074656	1.1528	0.419914989902793	2.22345005804019	0
35	4973	79191	79191	2.71903095897135	0.6962	0.256047102995614	1.62023154348115	0
36	2327	32	32	2.71678604511873	0.9372	0.344966436235888	1.91480834679332	0
37	4072	57758	57758	2.70216647933729	0.6568	0.243064224585111	1.57658177232031	0
38	3395	54165	54165	2.66550226463329	0.7348	0.275670371677996	1.66416675093295	0
39	3845	5634	5634	2.65887785342945	0.738	0.277560700672323	1.66786208764993	0
40	4079	57827	57827	2.65013514267113	0.7396	0.279080107308995	1.66971283197659	0
41	5106	80176	80176	2.64799583461457	0.7338	0.277115239536171	1.66301363812618	0
42	4741	7108	7108	2.64702652366095	0.8816	0.333052952858482	1.84241747498398	0
43	5523	8613	8613	2.63987453281604	1.1554	0.437672315724602	2.22746073410113	0
44	2577	388	388	2.61863795076122	0.7262	0.277319741657642	1.65427605234754	0
45	3988	57326	57326	2.61643764000384	0.6666	0.254773891725171	1.58732770015876	0
46	1623	23580	23580	2.61626561644131	0.7552	0.288655706536111	1.68786556389334	0
47	4490	65084	65084	2.60670924245446	0.6282	0.240993506206504	1.54563535500226	0
48	1098	1889	1889	2.60402038142635	0.8096	0.310903864568273	1.75272541658535	0
49	2420	3479	3479	2.59783506799022	0.6448	0.248206673296946	1.56352252098708	0
50	3051	51035	51035	2.58845392392253	0.6352	0.245397452946515	1.55315304780964	0
51	3059	51069	51069	2.58248239718959	0.6756	0.26160875316526	1.59726091673949	0
52	2202	29781	29781	2.57954983010526	0.5738	0.2224419134313	1.48843889941807	0
53	3704	55604	55604	2.574593463659	1.145	0.444730407406819	2.21146130664054	0
54	534	114915	114915	2.57420456333903	1.0334	0.401444397511115	2.04684236600923	0
55	6056	9842	9842	2.56957009618934	0.7424	0.288919925204988	1.67295657758589	0
56	2779	4329	4329	2.56084415962872	0.7952	0.310522605215966	1.73531792377538	0
57	633	124152	124152	2.53144184798818	0.7784	0.307492743954842	1.71522756940904	0
58	229	10555	10555	2.47652922439234	0.8116	0.327716706108784	1.75515689492991	0
59	4611	6748	6748	2.46991842014132	0.751	0.304058625530243	1.68295896457076	0
60	4826	7381	7381	2.46525912995841	0.8972	0.363937400777474	1.86244781185486	0
61	718	1337	1337	2.43771594652041	0.7778	0.319069168460842	1.71451437463175	0
62	3301	5209	5209	2.42998174066549	1.0488	0.431608181431342	2.06880834542325	0
63	647	126	126	2.42264603732072	0.9728	0.401544420858051	1.96264602833471	0
64	4242	6192	6192	2.40238958683751	1.1958	0.497754405260365	2.29071821297269	0
65	3319	5256	5256	2.40166175819889	0.5952	0.247828403799195	1.51068199604052	0
66	815	143662	143662	2.39762716885401	0.6768	0.282279083583912	1.59859003370834	0
67	1751	25828	25828	2.37821437901076	0.5294	0.22260398586111	1.44332880710793	0
68	5937	9547	9547	2.37010926872732	0.6936	0.292644735477721	1.61731421983763	0
69	2660	401320	401320	2.36785994037916	0.6776	0.286165574426458	1.59947672606873	0
70	5572	8741	8741	2.3630929697856	0.5388	0.228006264200805	1.45276363980684	0
71	5662	89894	89894	2.36175532906734	0.6122	0.259213980578488	1.52858841342735	0
72	4258	6227	6227	2.35409612400071	0.7394	0.314090827669098	1.66948137667185	0
73	2430	3488	3488	2.34101392132081	0.6324	0.270139358950586	1.55014159285205	0
74	4676	6923	6923	2.33379061572235	0.5374	0.230269157986851	1.45135455298128	0
75	5601	8834	8834	2.33372851035747	0.5594	0.239702260788816	1.47365621343969	0
76	336	109	109	2.32594768100553	0.5224	0.224596625395358	1.43634269417644	0
77	5459	84939	84939	2.31237893940045	0.4668	0.201870027462294	1.38204060173855	0.350516003524352
78	1153	2002	2002	2.31081307466806	0.5286	0.228750653090333	1.44252867753684	0.350516003524352
79	5958	9590	9590	2.29947390449807	0.6182	0.268844103336298	1.5349588717349	0.350516003524352
80	5111	80195	80195	2.29935100793308	0.471	0.204840408608771	1.38606988565041	0.350516003524352
81	6085	9902	9902	2.29769867604961	0.8028	0.34939307245467	1.74448355800594	0.350516003524352
82	2962	4926	4926	2.29534483996898	0.6198	0.270024786344686	1.5366621399155	0.350516003524352
83	2805	441124	441124	2.2834456368403	0.6354	0.278263686136724	1.55336837546589	0.350516003524352
84	839	145853	145853	2.27852253733806	0.6082	0.266927357545713	1.52435613632443	0.350516003524352
85	1947	27065	27065	2.27733075598747	0.7026	0.308519084525931	1.62743508676583	0.350516003524352
86	3635	5525	5525	2.2658870307857	0.6976	0.307870600132305	1.62180458910091	0.350516003524352
87	5333	84152	84152	2.26252088670903	0.8286	0.366228663287722	1.77596112243931	0.350516003524352
88	2928	4826	4826	2.26193879135608	0.8254	0.364908194312878	1.77202628010896	0.350516003524352
89	6110	9945	9945	2.25968446033107	0.7908	0.349960365653946	1.73003353097236	0.350516003524352
90	1621	23564	23564	2.24860381608671	0.6944	0.308813849301599	1.61821129797076	0.350516003524352
91	496	11328	11328	2.22706299822007	0.6962	0.312609028373432	1.62023154348115	0.350516003524352
92	3311	5229	5229	2.21590140576499	0.5767	0.260255261583224	1.49143385949145	0.350516003524352
93	349	10938	10938	2.2150363395098	0.573	0.25868650088459	1.48761376243451	0.350516003524352
94	2906	477	477	2.19758303447663	0.791	0.359940893058625	1.73027338116998	0.56263083827514
95	5110	80194	80194	2.19125063216357	0.6114	0.279018744376276	1.52774101899748	0.56263083827514
96	2116	286133	286133	2.17177094744963	1.044	0.48071367803589	2.06193663758958	0.56263083827514
97	621	122970	122970	2.1658936156439	0.5518	0.254767822396464	1.46591352433724	0.56263083827514
98	244	1059	1059	2.15817645318623	0.5306	0.245855708052345	1.44452983368352	0.56263083827514
99	4322	63939	63939	2.15263824489689	0.398	0.1848894030121	1.31767995173414	0.56263083827514
